text,label
"Breaking: World War 3 is about to start! Countries are mobilizing armies everywhere!",fake
"Study finds drinking water is essential for good health and longevity.",real
"NASA just confirmed that the moon is made of green cheese!",fake
"New technology promises to make cars fully autonomous within 5 years.",real
"Aliens have landed on Earth, and they're living among us!",fake
"Government introduces a new policy to reduce carbon emissions.",real
"Shocking discovery: Dinosaurs have been resurrected and now roam the Earth.",fake
"Scientists have found a cure for cancer in the Amazon rainforest.",real
"Massive UFO sightings reported over major cities around the world!",fake
"Experts say reading books daily improves brain health and cognitive function.",real
